Altitude,Heat Capacity Ratio,Sound Speed
m,-,m/s
5620,1.4,318.0134888
5630,1.4,317.9724885
5640,1.4,317.9314829
5650,1.4,317.8904722
5660,1.4,317.8494564
5670,1.4,317.8084354
5680,1.4,317.7674092
5690,1.4,317.7263778
5700,1.4,317.6853413
5710,1.4,317.6442996
5720,1.4,317.6032528
5730,1.4,317.5622007
5740,1.4,317.5211435
5750,1.4,317.4800811
5760,1.4,317.4390135
5770,1.4,317.3979407
5780,1.4,317.3568628
5790,1.4,317.3157796
5800,1.4,317.2746913
5810,1.4,317.2335977
5820,1.4,317.192499
5830,1.4,317.1513951
5840,1.4,317.110286
5850,1.4,317.0691716
5860,1.4,317.0280521
5870,1.4,316.9869274
5880,1.4,316.9457975
5890,1.4,316.9046623
5900,1.4,316.863522
5910,1.4,316.8223764
5920,1.4,316.7812256
5930,1.4,316.7400696
5940,1.4,316.6989084
5950,1.4,316.657742
5960,1.4,316.6165703
5970,1.4,316.5753934
5980,1.4,316.5342113
5990,1.4,316.4930239
6000,1.4,316.4518314
6010,1.4,316.4106336
6020,1.4,316.3694305
6030,1.4,316.3282222
6040,1.4,316.2870087
6050,1.4,316.2457899
6060,1.4,316.2045659
6070,1.4,316.1633367
6080,1.4,316.1221022
6090,1.4,316.0808624
6100,1.4,316.0396174
6110,1.4,315.9983672
6120,1.4,315.9571117
6130,1.4,315.9158509
6140,1.4,315.8745849
6150,1.4,315.8333136
6160,1.4,315.792037
6170,1.4,315.7507552
6180,1.4,315.7094681
6190,1.4,315.6681758
6200,1.4,315.6268781
6210,1.4,315.5855752
6220,1.4,315.5442671
6230,1.4,315.5029536
6240,1.4,315.4616349
6250,1.4,315.4203108
6260,1.4,315.3789815
6270,1.4,315.3376469
6280,1.4,315.2963071
6290,1.4,315.2549619
6300,1.4,315.2136114
6310,1.4,315.1722556
6320,1.4,315.1308946
6330,1.4,315.0895282
6340,1.4,315.0481566
6350,1.4,315.0067796
6360,1.4,314.9653973
6370,1.4,314.9240098
