Time,r_1,r_2,r_3
699.099099099099,-0.0399288872874101,-0.00476821140007503,-0.00119205285001876
706.306306306306,-0.0399456075217661,-0.00417058255722396,-0.00104264563930599
713.513513513514,-0.0399600915604518,-0.00357272024090955,-0.000893180060227388
720.720720720721,-0.0399723385926347,-0.00297465792009442,-0.000743664480023605
727.927927927928,-0.0399823479327141,-0.00237642907491316,-0.000594107268728291
735.135135135135,-0.039990119020357,-0.00177806719480436,-0.00044451679870109
742.342342342342,-0.0399956514205295,-0.00117960577671278,-0.000294901444178195
749.54954954955,-0.0399989448235231,-0.000581078323060373,-0.000145269580765093
756.756756756757,-0.0399999990449687,1.74816599090369e-05,4.37041497725922e-06
763.963963963964,-0.0399988140258509,0.000616040664278323,0.000154010166069581
771.171171171171,-0.0399953898325076,0.00121456518202338,0.000303641295505844
778.378378378378,-0.039989726656629,0.00181302170721747,0.000453255426804368
785.585585585586,-0.0399818248152452,0.00241137673757923,0.000602844184394806
792.792792792793,-0.0399716847507094,0.00300959677665187,0.000752399194162969
800,-0.0399593070306727,0.0036076483354213,0.000901912083855326
807.207207207207,-0.0399446923480526,0.00420549793438259,0.00105137448359565
814.414414414414,-0.0399278415209934,0.00480311210530085,0.00120077802632521
821.621621621622,-0.0399087554928223,0.0054004573931137,0.00135011434827843
828.828828828829,-0.0398874353319934,0.00599750035785965,0.00149937508946491
836.036036036036,-0.0398638822320325,0.00659420757641541,0.00164855189410385
843.243243243243,-0.039838097511464,0.00719054564457114,0.00179763641114278
850.45045045045,-0.0398100826137454,0.0077864811786398,0.00194662029465995
857.657657657658,-0.039779839107176,0.00838198081762757,0.00209549520440689
864.864864864865,-0.0397473686848213,0.00897701122477646,0.00224425280619412
872.072072072072,-0.0397126731644052,0.00957153908975985,0.00239288477243996
879.279279279279,-0.0396757544882213,0.0101655311302344,0.0025413827825586
886.486486486486,-0.0396366147230119,0.0107589540939766,0.00268973852349415
893.693693693694,-0.0395952560598626,0.0113517747605311,0.00283794369013278
900.900900900901,-0.0395516808140729,0.0119439599432093,0.00298598998580232
908.108108108108,-0.0395058914250284,0.0125354764908901,0.00313386912272253
915.315315315315,-0.0394578904560678,0.0131262912898494,0.00328157282246236
922.522522522523,-0.0394076805943305,0.0137163712657204,0.00342909281643009
929.72972972973,-0.0393552646506204,0.0143056833851658,0.00357642084629145
936.936936936937,-0.0393006455592294,0.0148941946579676,0.0037235486644919
944.144144144144,-0.0392438263777964,0.0154818721385867,0.00387046803464668
951.351351351351,-0.0391848102871096,0.016068682928325,0.00401717073208125
958.558558558559,-0.039123600590957,0.0166545941768362,0.00416364854420906
965.765765765766,-0.0390602007159127,0.0172395730842897,0.00430989327107243
972.972972972973,-0.0389946142111719,0.0178235869029082,0.00445589672572705
980.18018018018,-0.0389268447483293,0.0184066029390524,0.00460165073476309
987.387387387387,-0.038856896121191,0.0189885885548642,0.00474714713871604
994.594594594595,-0.0387847722455515,0.0195695111702057,0.00489237779255144
1001.8018018018,-0.038710477158977,0.0201493382644515,0.00503733456611288
1009.00900900901,-0.0386340150205858,0.0207280373782606,0.00518200934456515
1016.21621621622,-0.0385553901108,0.0213055761155173,0.00532639402887932
